书名	书名（英文）	作者
人类简史	Sapiens: A Brief History of Humankind	尤瓦尔•赫拉利（Yuval Noah Harari）
引爆点	The Tipping Point: How Little Things Can Make a Big Difference	马尔科姆•格拉德威尔（Malcolm Gladwell）
思考的艺术	The Art of Thinking Clearly	罗尔夫•多贝利（Rolf Dobelli）
极简心理学	Psychology: A Simple Guide to the Most Important Insights and Theories in Psychology	阿尔伯特•弗格森（Albert Ferguson）
演讲的力量	Talk Like TED: The 9 Public-Speaking Secrets of the World's Top Minds	卡梅隆•赫伯尔特（Carmine Gallo）
极限领导力	Leadership and Self-Deception: Getting Out of the Box	阿伦•拉市曼（Arbinger Institute）
开眼看世界：15位智慧大师的思考方式	Insight: Reflections on the Gifts of Being an Introvert	苏珊•凯恩（Susan Cain）
逆生长：后物质时代的哲学	Antifragile: Things That Gain from Disorder	纳西姆•尼古拉斯•塔勒布（Nassim Nicholas Taleb）
亲密关系	Intimate Relationships	托马斯•布拉德伯利（Thomas Bradbury）和珍妮弗•霍斯曼（Benjamin Karney）
善意的谎言：为什么我们总是误判心情，却又相信自己是正确的	Honest Lies：Why We Lie to Each Other and Ourselves	丹尼尔•奥吉尔维（Dan Ariely）
深度思考：批判性思维的艺术和科学	Deep Thinking: Where Machine Intelligence Ends and Human Creativity Begins	加里•卡斯帕罗夫（Garry Kasparov）
交际要则	How to Win Friends and Influence People	戴尔•卡耐基（Dale Carnegie）
认知失调	Cognitive Dissonance	里昂•费斯廷李奇（Leon Festinger）
最好的我们：中国青年话题报告	The Best of Us: China Youth Trends Report	2019 中国青年政治学院调查中心
快速学习	Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate Your Career	斯科特•杨（Scott H. Young）
帅出新高度：从外貌到内涵，离成功更近	The Style Bible: What to Wear to Work	祝达龙（Dalon Zhu）
习惯小事：小改变带来大变化	Better Than Before: What I Learned About Making and Breaking Habits-to Sleep More, Quit Sugar, Procrastinate Less, and Generally Build a Happier Life	格蕾琴•鲁本（Gretchen Rubin）
黑箱思维：决策思考的逻辑	Black Box Thinking: The Surprising Truth About Success	马修•赫兰（Matthew Syed）
社交秘技	The Art of Socializing: Building More Meaningful and Effective Relationships	安德鲁•乔丹（Andrew Jordan）
完美行动：掌控你的时间，完美你的行动	The Perfect Day Formula: How to Own the Day and Control Your Life	克雷格•巴利曼（Craig Ballantyne）
慢思考的艺术	Thinking, Fast and Slow: Your Guide to Smarter Decision Making	丹尼尔•卡尼曼（Daniel Kahneman）
绝对时间:超越时间束缚的奥秘	The Time Paradox: The New Psychology of Time That Will Change Your Life	菲利普•齐格纳（Philip Zimbardo）和约翰•J•博因（John Boyd）
如何让婚姻更美好	Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert	约翰•戈特曼（John M. Gottman）和妮娜•西尔弗（Nan Silver）
洒脱人生	The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life	马克•曼森（Mark Manson）
清晰思考的艺术	The Elements of Thinking in Systems: Use Systems Archetypes to Understand, Manage, and Fix Complex Problems and Make Smarter Decisions	阿尔伯特•罗梅罗（Albert Rutherford）
爱如渴	The 5 Love Languages: The Secret to Love that Lasts	加里•查普曼（Gary Chapman）
思考的机器：如何重塑人类与人工智能的未来	The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World	佩德罗•多明戈斯（Pedro Domingos）
自控力：抵制即时满足，战胜恶习，成为更好的你	The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It	凯利•麦格尼格尔（Kelly McGonigal）
乌合之众	The Crowd: A Study of the Popular Mind	古斯塔夫·勒庞
批判性思维工具箱	The Miniature Guide to Critical Thinking Concepts and Tools	琳达·埃尔德尔
人类行为的根源	The Origins of Human Behavior	罗伯特·弗莱明
狄更斯世界的一半	Half the World: The Social Architecture of Safavid Isfahan, 1590-1722	Andrew J. Newman
支配的三种形式	The Three Forms of Dominion: A Comparative Study of Jewish, Christian and Islamic Political Theory	Geoffrey Samuel
大数据时代	Big Data: A Revolution That Will Transform How We Live, Work and Think	瓦尔特·艾萨克森
心理如何驱动经济	How The Mind Works	史蒂文·平克
如何阅读一本书	How to Read a Book	莫提默·J·艾德勒
乐活	The Art of Living	伊泽特·C·索尔
旅行的意义	The Art of Travel	阿兰·德波顿
社会学是一种危险学问	Sociology is a Martial Art	皮埃尔·布迪厄
行为经济学	NUDGE: Improving Decisions About Health, Wealth and Happiness	理查德·塞勒、卡尔·桑斯坦
衡量是什么	What is Measurement?	麦克劳德
广告的魔力	Adcult USA: The Triumph of Advertising in American Culture	詹姆斯·B·托姆普森
做事的样子	The Doing of Doing : A Practical Guide to Business Succession Planning	贾尼斯·朱纳
信任的力量	The Speed of Trust: The One Thing That Changes Everything	史蒂文·M·R·柯维
人性中的贪婪	The Selfish Gene	理查德·道金斯
黑客与画家	Hackers & Painters: Big Ideas from the Computer Age	保罗·格雷厄姆
来自新科技的新威胁	The Big Switch: Rewiring the World, from Edison to Google	尼可拉斯·卡尔
思考履约	Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts	安妮·杜克
从0到1	Zero to One: Notes on Startups, or How to Build the Future	彼得·蒂尔
长尾理论	The Long Tail: Why the Future of Business is Selling Less of More	克里斯·安德森
少有人走的路	The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth	M·斯科特·派克
沉默的世界	The Silent World	雅克-伊夫·库斯托
吸引力法则	The Law of Attraction: The Basics of the Teachings of Abraham	埃斯特·希克斯、杰瑞·希克斯
你的灵魂深处	The Seat of the Soul	盖瑞·祖卡夫
以形塑之	Forces That Shape the Earth	米歇尔·德·切特
尼采的基督教	Nietzsche's New Darwinism	John Richardson
祖传的语言	Inheritance of Lost Languages	麦克·欧库拉
过剩的活力	Surplus Energy Economics: The Path to a Regenerative Growth Economy	塔姆纳·明格
技术终结了什么	What Technology Wants	凯文·凯利
我们的全民精神病	The Madness of Crowds: Gender, Race and Identity	道格拉斯·穆雷
小组心理学	Small Group Behavior: An Introduction to Group Processes	Donelson R. Forsyth
定向思维	Lateral Thinking: Creativity Step by Step	爱德华·德博诺
经济学万岁	Economics in One Lesson	亨利·哈托
人性的弱点	How to Win Friends and Influence People	戴尔·卡耐基
内向型人才的力量	Quiet: The Power of Introverts in a World That Can't Stop Talking	苏珊·凯恩
启迪之魂	The Power of Now: A Guide to Spiritual Enlightenment	埃克哈特·托利
谷歌的智慧	The Google Story: Inside the Hottest Business, Media, and Technology Success of Our Time	大卫·V·山多尔
启示录：数字未来的秘密历程	The Singularity is Near: When Humans Transcend Biology	瑞·库兹韦尔
载荷/效率	Load & Efficiency: A Performance Study of Village Water Mills in Nepal	德雷克·M·拉特
为什么个性会影响我们的运气	The Luck Factor: The Scientific Study of the Lucky Mind	理查德·怀森
我们周围的人	The People Around Us: A Cross-Cultural Perspective on Understanding Diversity	唐纳德·J·弗朗西斯
自洽场理论	Self-consistent Fields in Atoms	约翰·C·斯拉特
哈佛政治评论	Harvard Business Review	哈佛商业评论
在精神科治疗中应用的认知行为疗法	Cognitive Behavior Therapy: Basics and Beyond	Judith S. Beck
改变自己的大脑	Rewire Your Brain: Think Your Way to a Better Life	约翰·B·阿米特治
一个普通人的历史	A Short History of Nearly Everything	比尔·布莱森
整个世界都像是一个商店奶奶	The World Is Flat: A Brief History of the Twenty-First Century	托马斯·弗里德曼
刻意练习	Peak: Secrets from the New Science of Expertise	安德斯·艾利克森
人类简史	Sapiens: A Brief History of Humankind	尤瓦尔·赫拉利
思考，快与慢	Thinking, Fast and Slow	丹尼尔·卡尼曼
如何高效学习	Make It Stick: The Science of Successful Learning	彼得·C.布朗 等
演讲的力量	The Power of Speech: Leadership, Diplomacy, and the Art of Persuasion	车尔尼·哈特
奇特的一生	The Immortal Life of Henrietta Lacks	蕾贝卡·史克洛特
社交心理学	Social Psychology	戈登·阿利普
大数据时代	Big Data: A Revolution That Will Transform How We Live, Work, and Think	维克托·迈尔-舍恩伯格
无声的春雷	Silent Spring	瑞秋·卡森
乌合之众	The Crowd: A Study of the Popular Mind	古斯塔夫·勒庞
卡夫卡的电报	Kafka on the Shore	村上春树
疯狂世界末日	The End of the World as We Know It: Scenes from a Life	Gwynn Dyer
另类的投资组合	The Little Book of Alternative Investments	Benjamin Graham, Jason Zweig
冷战	Cold War: An International History	阿姆·戴维·霍洛维茨
战争与和平	War and Peace	列夫·托尔斯泰
国富论	The Wealth of Nations	亚当·斯密
解读人类行为密码	What Every Body Is Saying	乔·纳瓦罗
脑的自我修养	The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science	诺曼·多奇
人类大起源	The Dawn of Human Culture	理查德·克莱因
永远的乔布斯	Steve Jobs	沃尔特·艾萨克森
系统思维	Thinking in Systems: A Primer	唐纳德·梅德罗斯
人性的弱点	How to Win Friends and Influence People	戴尔·卡耐基
人性的枷锁	The Lucifer Effect: Understanding How Good People Turn Evil	菲利普·津巴多
长尾理论	The Long Tail: Why the Future of Business is Selling Less of More	克里斯·安德森
未来简史	Homo Deus: A Brief History of Tomorrow	尤瓦尔·赫拉利
人类群星闪耀时	When Breath Becomes Air	保罗·卡兰尼希
人间草木	The Little Prince	安托万·德·圣-修伯里
激荡三十年	China in the 21st Century: What Everyone Needs to Know	李约瑟
身体回忆	The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma	范德尔·科克
半数现象	The Half-Life of Facts: Why Everything We Know Has an Expiration Date	萨姆·阿诺德
科技想要什么	What Technology Wants	凯文·凯利
如何阅读一本书	How to Read a Book	莫提默·J.艾德勒
奇航记	The Odyssey	荷马
思想的乐趣	The Pleasures of Philosophy	威尔·杜兰特
神秘岛	The Mysterious Island	儒勒·凡尔纳
别为小事物烦恼	Don't Sweat the Small Stuff...and It's All Small Stuff: Simple Ways to Keep the Little Things from Taking Over Your Life	理查德·卡尔森
一粒种子	The Alchemist (10th Anniversary Edition)	保罗·柯艾略
乌合之众与精英统治	The Nature of Mass Poverty	吉涅斯·P·惠特莫尔
一本书读懂经济学	Economics in One Lesson	亨利·哈兰德
积极心理学	Positive Psychology: The Scientific and Practical Explorations of Human Strengths	Mihaly Csikszentmihalyi, William Damon
简明宇宙史	A Brief History of Time	史蒂芬·霍金
向死而生	Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson	米奇·阿尔巴姆
科学革命的结构	The Structure of Scientific Revolutions	托马斯·库恩
霸王别姬	Farewell My Concubine	莫言
格点国度	Flatland: A Romance of Many Dimensions	爱德温·A.阿伯特
人类的本质	The Social Animal: The Hidden Sources of Love, Character, and Achievement	戴维·布鲁克斯
财富自由之路	The Path to Personal Power	纳波莉昂·希尔
格林童话集	Grimms' Fairy Tales	雅各布和威廉·格林兄弟
赢在中国	Playing to Win in Business and Life	陈安之
盖茨传	Steve Jobs: The Exclusive Biography	沃尔特·艾萨克森
一本诗一双鞋	Shoe Dog: A Memoir by the Creator of Nike	菲尔·奈特
人类简史	Sapiens: A Brief History of Humankind	尤瓦尔·赫拉利
万物简史	A Short History of Nearly Everything	比尔·布莱森
思考，快与慢	Thinking, Fast and Slow	丹尼尔·卡尼曼
黑天鹅：如何应对不可预知的未来	The Black Swan: The Impact of the Highly Improbable	纳西姆·尼古拉斯·塔勒布
双城记	A Tale of Two Cities	查尔斯·狄更斯
道德经	The Tao Te Ching	老子
论语	The Analects of Confucius	孔子
君主论	The Prince	尼可罗·马基雅维利
1984	1984	乔治·奥威尔
动物农场	Animal Farm	乔治·奥威尔
失控	Out of Control: The New Biology of Machines, Social Systems, and the Economic World	凯文·凯利
六度分离	Six Degrees: The Science of a Connected Age	邓巴·沙修根
第三波	The Third Wave	艾尔文·托夫勒
极简宇宙史	Astrophysics for People in a Hurry	尼尔·德格拉斯·泰森
获得悟性的艺术	The Art of Possibility	罗塔·泽夫·贝恩与本杰明·扎德
行动的勇气	The Courage to Act	本·伯南克
深度学习	Deep Learning	伊恩·古德费洛
你一定爱读的极简经济学	The Undercover Economist	蒂姆·哈福德
茶花女	La Dame aux Camélias	亚历山大·杜马
蝇王	Lord of the Flies	威廉·戈尔丁
我们身处的世界	The World We Live In	世界自然基金会
禅者的初心	The Heart of the Buddha's Teaching	图·南·汉
金字塔原理	The Pyramid Principle: Logic in Writing and Thinking	芭芭拉·明托
倾城之恋	Love in a Fallen City	张爱玲
伦敦眼中的中国	Wild Swans: Three Daughters of China	张艺谋
山居笔记	Notes from the Mountains	陈寅恪
资本论	Das Kapital	卡尔·马克思
社会心理学	Social Psychology	大卫·迈尔斯
